;;;;;;;;;;;;;;;;
;;;;;;;;evento que causou as avarias;;idade da pessoaa que morreu, no caso de 1 fatalidade;;;;;;
;estado;cidade;area_da_industria;area_especifica;cod_CNAE;processo;processo_especifico;evento;evento_especifico;idade*;vitimas;fatalidades;grau;mês;ano;url
;SC;São Lourenço do Oeste;Móveis;sofá e etc;C31;Armazenamento;Armazenamento de espumas;Incêndio;NaN;NaN;1;1;5;7;2020;https://g1.globo.com/sc/santa-catarina/noticia/2020/07/22/homem-morre-apos-incendio-em-barracao-de-industria-em-sc.ghtml
;SP;Araçatuba;Derivados de petróleo e biocombustíveis;asfalto;C19;NaN;NaN;Incêndio;o fogo teria começado após um vazamento em um tanque com oito mil litros de óleo;NaN;0;0;5;7;2020;https://g1.globo.com/sp/sao-jose-do-rio-preto-aracatuba/noticia/2020/07/06/incendio-atinge-industria-de-pavimento-asfaltico-em-aracatuba.ghtml
;SP;Guarulhos;Química;NaN;C20;Armazenamento;NaN;Incêndio;Incêndio atinge galpão de indústria;NaN;0;0;5;6;2020;https://g1.globo.com/sp/sao-paulo/noticia/2020/06/29/incendio-atinge-galpao-de-industria-quimica-em-guarulhos.ghtml
;MG;Santo Antônio do Monte;Química;Fogos de Artifício;C20;Armazenamento;Descarte de resíduos;Explosão;resto de cigarro lançado sobre os descartes pelo adolescente;15;1;1;4;12;2020;https://g1.globo.com/mg/centro-oeste/noticia/2020/12/10/adolescente-morre-apos-explosao-registrada-em-santo-antonio-do-monte.ghtml
;GO;Goiânia;Não-metálicos;Para-brisa;C23;Armazenamento;armazenamento de fibra de vidro;Incêndio;NaN;NaN;0;0;5;3;2020;https://g1.globo.com/go/goias/noticia/2020/03/21/industria-de-fibras-de-vidro-pega-fogo-em-goiania.ghtml
;PE;Araripina;Não-metálicos;Gesso;C23;NaN;NaN;NaN;NaN;NaN;1;1;4;7;2020;https://g1.globo.com/pe/petrolina-regiao/noticia/2020/07/23/homem-morre-apos-sofrer-acidente-de-trabalho-em-empresa-de-gesso-em-araripina.ghtml
;MG;Juiz de Fora;Automóvel;Mercedes;C29;Manutenção;manutenção de plataforma;Desabamento;parte da estrutura de uma plataforma caiu;57;1;1;4;7;2020;https://g1.globo.com/mg/zona-da-mata/noticia/2020/07/01/funcionario-morre-em-acidente-na-fabrica-da-mercedes-benz-em-juiz-de-fora.ghtml
;PA;Vitória do Xingu;Energia;Hidrelétrica;D35;Manutenção;NaN;Queda;o funcionário conduzia uma plataforma de trabalho aéreo quando bateu e uma estrutura metálica;NaN;1;1;4;3;2019;https://g1.globo.com/pa/para/noticia/2019/03/21/mecanico-industrial-morre-em-acidente-dentro-do-sitio-da-usina-de-belo-monte-no-para.ghtml
;GO;Rio Verde;Alimentos;Frigorífico;C10;NaN;NaN;Vazamento;Vazamento de amônia;NaN;8;0;2;3;2019;https://g1.globo.com/go/goias/noticia/2019/03/27/vazamento-de-amonia-em-industria-de-alimentos-deixa-funcionarios-intoxicados-em-rio-verde.ghtml
;SP;Piracicaba;Reciclagem;Plástico;E38;Armazenamento;Armazenamento de placas de plástico;Incêndio;NaN;NaN;0;0;3;9;2019;https://g1.globo.com/sp/piracicaba-regiao/noticia/2019/09/12/incendio-atinge-area-externa-de-industria-de-plasticos-em-piracicaba.ghtml
